Timestamp,Event,FPS,Edge_Latency_ms,WiFi_Latency_ms,Total_Latency_ms,Resolution,Distance,Target_Gesture,Last_Command,Light_Intensity_Lux
09:01:03.443,COMMAND_SENT,27.38,30.68,65.09,95.77,480p,50cm,D1 ON,D1 ON,30
09:01:27.294,COMMAND_SENT,28.51,26.84,38.69,65.53,480p,50cm,D1 ON,D1 ON,30
09:01:32.320,COMMAND_SENT,25.29,27.96,25.5,53.46,480p,50cm,D1 ON,D1 ON,30
09:01:37.439,COMMAND_SENT,24.62,26.83,104.73,131.56,480p,50cm,D1 ON,D1 ON,30
09:01:50.443,COMMAND_SENT,25.38,27.59,68.47,96.06,480p,50cm,D1 ON,D1 ON,30
09:01:55.576,COMMAND_SENT,24.9,27.06,161.13,188.2,480p,50cm,D1 ON,D1 ON,30
09:02:01.732,COMMAND_SENT,25.45,27.37,355.76,383.13,480p,50cm,D1 ON,D1 ON,30
09:02:07.029,COMMAND_SENT,24.68,26.62,92.78,119.4,480p,50cm,D1 ON,D1 ON,30
09:02:12.214,COMMAND_SENT,24.23,26.57,197.45,224.02,480p,50cm,D1 ON,D1 ON,30
09:02:17.572,COMMAND_SENT,28.48,31.29,115.92,147.21,480p,50cm,D1 ON,D1 ON,30
09:02:22.593,COMMAND_SENT,27.65,31.01,97.6,128.61,480p,50cm,D1 ON,D1 ON,30
09:02:27.640,COMMAND_SENT,29.32,25.43,107.31,132.74,480p,50cm,D1 ON,D1 ON,30
09:02:40.209,COMMAND_SENT,24.76,26.89,75.85,102.74,480p,50cm,D1 ON,D1 ON,30
09:02:45.835,COMMAND_SENT,24.8,26.72,60.71,87.43,480p,50cm,D1 ON,D1 ON,30
09:06:08.608,COMMAND_SENT,27.87,28.52,146.11,174.63,480p,50cm,D1 ON,D1 ON,30
09:08:02.155,COMMAND_SENT,25.14,27.24,71.63,98.87,480p,50cm,D1 OFF,D1 OFF,30
09:08:08.405,COMMAND_SENT,24.37,26.4,282.22,308.62,480p,50cm,D1 OFF,D1 OFF,30
09:08:13.783,COMMAND_SENT,27.72,31.52,19.01,50.53,480p,50cm,D1 OFF,D1 OFF,30
09:08:19.018,COMMAND_SENT,22.73,23.96,18.27,42.23,480p,50cm,D1 OFF,D1 OFF,30
09:08:27.270,COMMAND_SENT,24.99,27.14,150.06,177.2,480p,50cm,D1 OFF,D1 OFF,30
09:08:43.213,COMMAND_SENT,25.3,27.66,52.49,80.15,480p,50cm,D1 OFF,D1 OFF,30
09:08:49.263,COMMAND_SENT,24.64,26.21,62.64,88.86,480p,50cm,D1 OFF,D1 OFF,30
09:08:55.329,COMMAND_SENT,24.59,26.87,166.74,193.61,480p,50cm,D1 OFF,D1 OFF,30
09:09:01.132,COMMAND_SENT,25.19,26.4,289.94,316.34,480p,50cm,D1 OFF,D1 OFF,30
09:09:06.349,COMMAND_SENT,22.43,27.59,21.76,49.36,480p,50cm,D1 OFF,D1 OFF,30
09:09:11.614,COMMAND_SENT,25.06,27.2,251.56,278.77,480p,50cm,D1 OFF,D1 OFF,30
09:09:16.492,COMMAND_SENT,24.97,31.24,85.39,116.62,480p,50cm,D1 OFF,D1 OFF,30
09:09:23.568,COMMAND_SENT,24.57,27.2,124.91,152.11,480p,50cm,D1 OFF,D1 OFF,30
09:09:28.581,COMMAND_SENT,24.55,27.32,97.65,124.97,480p,50cm,D1 OFF,D1 OFF,30
09:09:33.599,COMMAND_SENT,25.65,28.71,71.93,100.65,480p,50cm,D1 OFF,D1 OFF,30
09:15:06.804,COMMAND_SENT,24.71,27.1,124.65,151.75,480p,50cm,D2 ON,D2 ON,30
09:15:18.581,COMMAND_SENT,27.43,31.52,61.46,92.98,480p,50cm,D2 ON,D2 ON,30
09:15:24.316,COMMAND_SENT,24.7,29.23,78.36,107.59,480p,50cm,D2 ON,D2 ON,30
09:15:29.334,COMMAND_SENT,24.78,26.86,58.26,85.13,480p,50cm,D2 ON,D2 ON,30
09:15:34.454,COMMAND_SENT,24.98,25.63,120.95,146.58,480p,50cm,D2 ON,D2 ON,30
09:15:39.766,COMMAND_SENT,23.47,24.52,409.66,434.18,480p,50cm,D2 ON,D2 ON,30
09:15:52.372,COMMAND_SENT,25.89,26.6,95.32,121.91,480p,50cm,D2 ON,D2 ON,30
