Timestamp,Event,FPS,Edge_Latency_ms,WiFi_Latency_ms,Total_Latency_ms,Resolution,Distance,Target_Gesture,Last_Command,Light_Intensity_Lux
02:43:24.291,COMMAND_SENT,25.02,20.09,0.00,20.09,480p,50cm,close_to_one,D1 OFF,150
02:43:35.490,COMMAND_SENT,25.02,20.17,0.00,20.17,480p,50cm,close_to_three,D3 OFF,150
02:44:30.773,COMMAND_SENT,25.03,19.15,0.00,19.15,480p,50cm,close_to_two,D2 OFF,150
02:44:34.975,COMMAND_SENT,25.13,20.69,0.00,20.69,480p,50cm,close_to_two,D2 OFF,150
02:50:40.315,COMMAND_SENT,25.00,19.09,0.00,19.09,480p,50cm,close_to_two,D2 OFF,150
02:50:48.115,COMMAND_SENT,24.99,19.77,0.00,19.77,480p,50cm,close_to_two,D2 OFF,150
02:50:52.155,COMMAND_SENT,25.01,19.23,0.00,19.23,480p,50cm,close_to_three,D3 OFF,150
02:51:00.796,COMMAND_SENT,24.99,19.30,0.00,19.30,480p,50cm,close_to_two,D2 OFF,150
02:56:20.217,COMMAND_SENT,25.00,21.52,0.00,21.52,480p,50cm,open_to_two,D2 ON,150
02:56:25.214,COMMAND_SENT,25.00,19.75,0.00,19.75,480p,50cm,close_to_two,D2 OFF,150
02:56:29.255,COMMAND_SENT,24.98,20.22,0.00,20.22,480p,50cm,open_to_two,D2 ON,150
02:57:33.934,COMMAND_SENT,27.76,19.40,0.00,19.40,480p,50cm,open_to_two,D2 ON,150
02:57:39.260,COMMAND_SENT,25.01,23.92,0.00,23.92,480p,50cm,open_to_one,D1 ON,150
02:57:44.216,COMMAND_SENT,25.00,20.30,0.00,20.30,480p,50cm,close_to_four,D4 ON,150
02:57:48.255,COMMAND_SENT,25.01,19.90,0.00,19.90,480p,50cm,close_to_one,D1 ON,150
02:57:52.884,COMMAND_SENT,18.64,34.84,0.00,34.84,480p,50cm,close_to_one,D1 ON,150
03:00:54.338,COMMAND_SENT,25.00,19.29,0.00,19.29,480p,50cm,open_to_four,D4 OFF,150
03:00:59.298,COMMAND_SENT,25.00,19.96,0.00,19.96,480p,50cm,open_to_two,D2 ON,150
03:01:05.059,COMMAND_SENT,25.00,20.17,0.00,20.17,480p,50cm,open_to_four,D4 OFF,150
03:01:09.099,COMMAND_SENT,25.00,19.56,0.00,19.56,480p,50cm,close_to_one,D1 OFF,150
03:01:14.059,COMMAND_SENT,22.73,19.87,0.00,19.87,480p,50cm,open_to_three,D3 ON,150
03:02:16.592,COMMAND_SENT,24.97,19.69,107.29,126.97,480p,50cm,open_to_two,D2 ON,150
03:02:21.627,COMMAND_SENT,25.00,19.85,221.87,241.72,480p,50cm,close_to_two,D2 OFF,150
03:02:26.446,COMMAND_SENT,25.00,20.21,200.38,220.58,480p,50cm,open_to_four,D4 ON,150
03:02:31.868,COMMAND_SENT,25.00,20.20,21.85,42.05,480p,50cm,close_to_four,D4 OFF,150
03:02:37.077,COMMAND_SENT,14.70,19.80,83.00,102.80,480p,50cm,open_to_three,D3 ON,150
03:02:42.093,COMMAND_SENT,25.00,19.44,127.26,146.70,480p,50cm,close_to_three,D3 OFF,150
