Timestamp,Event,FPS,Edge_Latency_ms,WiFi_Latency_ms,Total_Latency_ms,Resolution,Last_Command
06:30:21.693,COMMAND_SENT,24.07,34.43,90.31,124.74,480p,D1 ON
06:30:27.627,COMMAND_SENT,24.31,26.83,31.88,58.71,480p,D1 ON
06:30:33.676,COMMAND_SENT,24.97,28.15,119.10,147.25,480p,D1 ON
06:30:39.383,COMMAND_SENT,24.46,27.31,26.81,54.11,480p,D1 ON
06:30:45.031,COMMAND_SENT,25.00,27.74,36.48,64.22,480p,D1 ON
06:30:50.767,COMMAND_SENT,25.16,27.79,91.75,119.54,480p,D1 ON
06:30:56.710,COMMAND_SENT,21.74,24.10,116.04,140.15,480p,D1 ON
06:31:01.728,COMMAND_SENT,26.49,28.05,95.75,123.80,480p,D1 ON
06:31:06.873,COMMAND_SENT,25.57,26.67,99.51,126.18,480p,D1 ON
06:31:12.480,COMMAND_SENT,25.51,27.71,71.52,99.23,480p,D1 ON
06:31:17.910,COMMAND_SENT,24.91,28.98,69.16,98.14,480p,D1 ON
06:31:25.280,COMMAND_SENT,25.16,28.04,125.95,153.99,480p,D1 ON
06:31:30.913,COMMAND_SENT,26.92,23.60,37.48,61.08,480p,D1 ON
06:31:36.429,COMMAND_SENT,24.68,28.26,34.02,62.28,480p,D1 ON
06:31:41.769,COMMAND_SENT,25.71,24.64,94.86,119.50,480p,D1 ON
06:35:38.420,COMMAND_SENT,21.69,21.87,56.24,78.11,480p,D1 OFF
06:35:43.950,COMMAND_SENT,24.58,26.75,68.32,95.07,480p,D1 OFF
06:35:49.886,COMMAND_SENT,29.05,25.91,43.17,69.07,480p,D1 OFF
06:35:55.964,COMMAND_SENT,22.53,23.40,165.31,188.70,480p,D1 OFF
06:36:01.760,COMMAND_SENT,22.86,24.02,41.38,65.40,480p,D1 OFF
06:36:07.630,COMMAND_SENT,27.43,32.27,25.30,57.57,480p,D1 OFF
06:36:13.338,COMMAND_SENT,24.99,27.49,98.62,126.11,480p,D1 OFF
06:36:19.174,COMMAND_SENT,25.76,28.27,53.64,81.91,480p,D1 OFF
06:36:24.294,COMMAND_SENT,21.98,21.95,133.10,155.05,480p,D1 OFF
06:36:30.145,COMMAND_SENT,24.95,27.18,104.58,131.76,480p,D1 OFF
06:36:41.598,COMMAND_SENT,24.96,27.47,157.25,184.72,480p,D1 OFF
06:36:47.574,COMMAND_SENT,25.05,27.62,213.43,241.04,480p,D1 OFF
06:36:53.167,COMMAND_SENT,25.19,27.66,45.07,72.73,480p,D1 OFF
06:36:58.806,COMMAND_SENT,24.81,26.95,84.09,111.04,480p,D1 OFF
06:37:04.435,COMMAND_SENT,25.15,35.57,105.14,140.71,480p,D1 OFF
07:18:20.604,COMMAND_SENT,25.17,27.69,278.15,305.84,480p,D2 ON
07:18:26.401,COMMAND_SENT,29.81,27.87,34.30,62.16,480p,D2 ON
07:18:34.082,COMMAND_SENT,29.84,30.27,72.58,102.85,480p,D2 ON
07:18:40.029,COMMAND_SENT,26.11,28.59,137.88,166.47,480p,D2 ON
07:18:45.653,COMMAND_SENT,24.59,33.89,114.17,148.06,480p,D2 ON
07:18:51.500,COMMAND_SENT,24.91,27.43,96.43,123.87,480p,D2 ON
07:18:57.234,COMMAND_SENT,24.71,27.48,190.14,217.62,480p,D2 ON
07:19:02.919,COMMAND_SENT,25.04,28.02,34.14,62.16,480p,D2 ON
07:19:08.595,COMMAND_SENT,24.99,27.64,69.89,97.52,480p,D2 ON
07:19:14.743,COMMAND_SENT,24.76,26.72,58.61,85.33,480p,D2 ON
07:19:20.986,COMMAND_SENT,24.82,28.47,260.49,288.96,480p,D2 ON
07:19:26.412,COMMAND_SENT,24.81,27.41,86.96,114.37,480p,D2 ON
07:19:32.462,COMMAND_SENT,25.03,27.95,56.65,84.60,480p,D2 ON
07:19:38.197,COMMAND_SENT,25.30,27.62,67.30,94.92,480p,D2 ON
07:19:44.029,COMMAND_SENT,25.26,27.26,58.93,86.18,480p,D2 ON
07:22:31.664,COMMAND_SENT,25.18,27.59,74.52,102.11,480p,D2 OFF
07:22:37.489,COMMAND_SENT,24.90,27.99,58.38,86.38,480p,D2 OFF
07:22:42.929,COMMAND_SENT,24.75,26.85,59.17,86.01,480p,D2 OFF
07:22:48.750,COMMAND_SENT,24.93,27.60,38.99,66.59,480p,D2 OFF
07:22:54.282,COMMAND_SENT,24.55,26.77,250.85,277.62,480p,D2 OFF
07:22:59.607,COMMAND_SENT,24.88,27.61,56.01,83.63,480p,D2 OFF
07:23:04.825,COMMAND_SENT,25.00,28.05,33.42,61.46,480p,D2 OFF
07:23:10.468,COMMAND_SENT,24.66,27.64,116.26,143.90,480p,D2 OFF
07:23:16.140,COMMAND_SENT,24.27,28.03,146.68,174.71,480p,D2 OFF
07:23:21.113,COMMAND_SENT,27.63,32.10,81.00,113.11,480p,D2 OFF
07:23:37.300,COMMAND_SENT,24.92,26.35,146.78,173.13,480p,D2 OFF
07:23:43.025,COMMAND_SENT,21.63,27.58,150.07,177.64,480p,D2 OFF
07:23:48.047,COMMAND_SENT,24.89,29.21,135.64,164.85,480p,D2 OFF
07:23:53.068,COMMAND_SENT,25.32,27.87,118.77,146.64,480p,D2 OFF
07:23:58.604,COMMAND_SENT,24.96,28.24,213.57,241.81,480p,D2 OFF
07:26:44.680,COMMAND_SENT,26.38,28.90,42.89,71.79,480p,D3 ON
07:26:50.125,COMMAND_SENT,24.37,25.69,128.81,154.50,480p,D3 ON
07:26:56.050,COMMAND_SENT,24.95,27.83,133.20,161.03,480p,D3 ON
07:27:12.033,COMMAND_SENT,25.11,28.10,116.29,144.40,480p,D3 ON
07:27:17.659,COMMAND_SENT,24.84,28.16,100.97,129.13,480p,D3 ON
07:27:23.596,COMMAND_SENT,24.56,27.40,38.04,65.44,480p,D3 ON
07:27:31.182,COMMAND_SENT,22.43,23.02,68.11,91.13,480p,D3 ON
07:27:36.835,COMMAND_SENT,24.81,27.06,161.41,188.47,480p,D3 ON
07:27:42.776,COMMAND_SENT,25.15,27.85,21.51,49.37,480p,D3 ON
07:27:48.602,COMMAND_SENT,24.95,27.58,86.63,114.21,480p,D3 ON
07:27:56.160,COMMAND_SENT,25.56,28.29,124.36,152.65,480p,D3 ON
07:28:03.550,COMMAND_SENT,24.72,27.93,153.97,181.90,480p,D3 ON
07:28:10.292,COMMAND_SENT,24.96,27.19,175.89,203.08,480p,D3 ON
07:28:18.688,COMMAND_SENT,25.01,26.73,237.81,264.54,480p,D3 ON
07:28:42.856,COMMAND_SENT,25.32,27.79,178.51,206.30,480p,D3 ON
07:33:34.582,COMMAND_SENT,25.00,27.73,39.10,66.83,480p,D3 OFF
07:33:40.555,COMMAND_SENT,25.29,27.09,131.61,158.70,480p,D3 OFF
07:33:46.330,COMMAND_SENT,24.44,26.79,185.10,211.88,480p,D3 OFF
07:33:51.995,COMMAND_SENT,25.11,28.55,90.21,118.77,480p,D3 OFF
