Timestamp,Event,FPS,Edge_Latency_ms,WiFi_Latency_ms,Total_Latency_ms
09:24:51.284,COMMAND_SENT,9.55,109.42,52.65,162.07
09:25:00.951,COMMAND_SENT,9.30,93.98,105.35,199.33
09:25:09.559,COMMAND_SENT,8.63,94.74,209.11,303.85
09:25:16.074,COMMAND_SENT,8.68,91.50,126.02,217.52
09:25:24.686,COMMAND_SENT,9.08,93.38,124.37,217.75
09:25:32.278,COMMAND_SENT,10.02,88.14,45.03,133.17
09:35:38.830,COMMAND_SENT,10.23,85.76,142.88,228.64
09:36:08.987,COMMAND_SENT,9.37,96.19,119.60,215.79
09:36:22.812,COMMAND_SENT,9.40,92.37,28.51,120.88
09:36:29.772,COMMAND_SENT,9.32,99.14,90.57,189.71
09:36:37.070,COMMAND_SENT,9.35,97.85,108.69,206.54
09:37:02.760,COMMAND_SENT,9.67,96.90,101.10,198.01
09:37:08.492,COMMAND_SENT,9.31,98.80,193.38,292.18
09:37:23.661,COMMAND_SENT,9.49,92.38,112.77,205.15
09:38:02.304,COMMAND_SENT,9.24,93.74,47.78,141.52
09:38:17.915,COMMAND_SENT,10.04,85.52,68.57,154.08
09:38:25.313,COMMAND_SENT,10.10,87.13,89.86,176.99
09:38:33.370,COMMAND_SENT,8.97,106.79,117.24,224.03
