Timestamp,Event,FPS,Edge_Latency_ms,WiFi_Latency_ms,Total_Latency_ms,Resolution,Distance,Target_Gesture,Last_Command,Light_Intensity_Lux
08:41:05.758,COMMAND_SENT,23.92,18.33,0.00,18.33,480p,50cm,open_to_one,CMD OFF,150
08:41:09.862,COMMAND_SENT,28.65,20.73,0.00,20.73,480p,50cm,open_to_one,CMD ON,150
08:41:13.880,COMMAND_SENT,22.17,24.15,0.00,24.15,480p,50cm,open_to_one,CMD ON,150
08:41:38.838,COMMAND_SENT,25.27,25.98,0.00,25.98,480p,50cm,close_to_three,CMD ON,150
08:42:08.956,COMMAND_SENT,23.81,27.29,0.00,27.29,480p,50cm,open_to_one,CMD ON,150
08:42:13.010,COMMAND_SENT,25.01,25.00,0.00,25.00,480p,50cm,open_to_two,CMD ON,150
08:42:17.075,COMMAND_SENT,22.77,28.18,0.00,28.18,480p,50cm,open_to_two,CMD ON,150
08:42:21.138,COMMAND_SENT,21.05,24.65,0.00,24.65,480p,50cm,open_to_two,CMD ON,150
08:43:20.666,COMMAND_SENT,22.94,22.67,0.00,22.67,480p,50cm,open_to_two,CMD ON,150
08:43:24.970,COMMAND_SENT,23.79,23.59,0.00,23.59,480p,50cm,close_to_two,CMD ON,150
08:43:29.935,COMMAND_SENT,21.88,27.60,0.00,27.60,480p,50cm,open_to_two,CMD ON,150
08:43:46.894,COMMAND_SENT,21.82,24.07,0.00,24.07,480p,50cm,open_to_two,CMD ON,150
08:44:59.506,COMMAND_SENT,18.30,27.78,0.00,27.78,480p,50cm,close_to_three,CMD OFF,150
08:47:59.532,COMMAND_SENT,19.47,26.45,0.00,26.45,480p,50cm,close_to_two,CMD OFF,150
08:48:05.384,COMMAND_SENT,23.09,23.23,0.00,23.23,480p,50cm,close_to_two,CMD OFF,150
08:48:11.689,COMMAND_SENT,21.10,27.14,0.00,27.14,480p,50cm,close_to_one,CMD OFF,150
08:48:17.124,COMMAND_SENT,20.73,37.90,0.00,37.90,480p,50cm,close_to_one,CMD OFF,150
08:48:24.871,COMMAND_SENT,19.85,25.62,0.00,25.62,480p,50cm,close_to_one,CMD OFF,150
